iter	Passed	Remaining
0	162	162361
1	165	82485
2	169	56335
3	175	43632
4	178	35434
5	181	30063
6	183	26097
7	187	23191
8	189	20871
9	194	19211
10	196	17704
11	199	16404
12	201	15321
13	204	14370
14	206	13535
15	209	12859
16	212	12285
17	215	11751
18	218	11275
19	220	10814
20	223	10401
21	226	10063
22	228	9710
23	230	9381
24	232	9074
25	234	8796
26	237	8563
27	240	8334
28	242	8110
29	244	7893
30	246	7692
31	248	7508
32	250	7337
33	252	7180
34	255	7052
35	259	6947
36	261	6802
37	263	6659
38	265	6547
39	268	6432
40	270	6328
41	272	6217
42	274	6111
43	276	6006
44	278	5909
45	284	5901
46	290	5896
47	293	5825
48	299	5821
49	302	5753
50	305	5681
51	310	5655
52	316	5663
53	319	5595
54	322	5543
55	324	5477
56	327	5425
57	330	5373
58	333	5313
59	336	5269
60	338	5206
61	340	5151
62	342	5095
63	346	5074
64	352	5072
65	354	5023
66	356	4970
67	359	4932
68	365	4926
69	367	4877
70	369	4834
71	371	4791
72	374	4752
73	376	4714
74	379	4682
75	382	4645
76	385	4626
77	388	4596
78	391	4561
79	394	4538
80	396	4498
81	398	4464
82	400	4422
83	403	4395
84	406	4379
85	409	4349
86	411	4316
87	413	4286
88	416	4258
89	420	4252
90	424	4238
91	426	4208
92	428	4175
93	430	4149
94	435	4148
95	440	4147
96	443	4127
97	446	4109
98	450	4099
99	452	4072
100	455	4056
101	458	4039
102	464	4041
103	466	4021
104	469	4004
105	472	3983
106	474	3960
107	477	3945
108	480	3931
109	483	3909
110	485	3887
111	489	3882
112	493	3870
113	495	3852
114	498	3832
115	500	3814
116	504	3805
117	509	3811
118	512	3793
119	515	3777
120	518	3763
121	523	3769
122	526	3752
123	529	3738
124	531	3722
125	534	3705
126	536	3684
127	539	3672
128	541	3657
129	544	3643
130	548	3640
131	550	3622
132	553	3610
133	556	3594
134	559	3584
135	561	3568
136	564	3553
137	567	3544
138	569	3529
139	573	3522
140	575	3507
141	578	3492
142	581	3486
143	584	3473
144	586	3460
145	592	3466
146	594	3452
147	598	3445
148	604	3455
149	607	3442
150	610	3430
151	612	3417
152	615	3405
153	617	3390
154	619	3378
155	622	3366
156	624	3351
157	626	3336
158	629	3326
159	632	3319
160	633	3303
161	637	3295
162	640	3287
